VALUE,COUNT,MICHI,US_200BPS,US_200EVT,US_200SCLASS,BPS_CODE,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL,DESCRIPTIO
619,723,0,1620,7193,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Recently Logged-Tree Cover,Conifer,D,Succession Class D
620,13,0,1636,9056,2,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,B,Succession Class B
621,1,0,1636,7238,3,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Northern Oak Forest,Hardwood,C,Succession Class C
622,478,0,1620,7193,3,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Recently Logged-Tree Cover,Conifer,C,Succession Class C
623,63,0,1636,7366,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
624,20,0,1636,9112,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
625,4,0,1636,9112,3,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,C,Succession Class C
626,17,0,1636,7362,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
627,3543,0,1614,7481,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,E,Succession Class E
628,374,0,1620,7909,120,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Eastern Cool Temperate Urban Shrubland,Developed,Urban,Urban
629,428,0,1616,7191,6,13023,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Recently Logged-Herb and Grass Cover,Grassland,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
630,13,0,1636,7301,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
631,59,0,1616,7192,6,13023,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Recently Logged-Shrub Cover,Shrubland,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
632,141,0,1616,9817,7,13023,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
633,2587,0,1614,7481,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
634,2788,0,1614,9056,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
635,6809,0,1624,9056,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
636,3,0,1625,7932,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed,UE,Uncharacteristic Exotic Vegetation
637,6255,0,1614,7193,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Tree Cover,Conifer,E,Succession Class E
638,207,0,1621,7193,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Recently Logged-Tree Cover,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
639,26,0,1615,7481,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B,Succession Class B
640,110,0,1622,7193,2,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Recently Logged-Tree Cover,Conifer,B,Succession Class B
641,1764,0,1614,7362,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
642,6694,0,1614,9112,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
643,9082,0,1614,7366,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,E,Succession Class E
644,7898,0,1614,7193,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Tree Cover,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
645,1225,0,1614,7362,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,E,Succession Class E
646,2,0,1616,7298,120,13023,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Developed-High Intensity,Developed-High Intensity,Urban,Urban
647,2423,0,1614,9112,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,E,Succession Class E
648,327,0,1620,7906,120,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
649,1273,0,1614,7240,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,E,Succession Class E
650,8326,0,1614,7241,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
651,7,0,1620,9088,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,D,Succession Class D
652,27,0,1636,9055,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Boreal-Laurentian Bog,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
653,14222,0,1624,7241,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,D,Succession Class D
654,49,0,1620,7240,3,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood,C,Succession Class C
655,678,0,1614,7238,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,E,Succession Class E
656,604,0,1620,7908,120,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban,Urban
657,25,0,1621,7362,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,B,Succession Class B
658,10,0,1621,7239,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,B,Succession Class B
659,40,0,1621,9089,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,B,Succession Class B
660,4198,0,1624,7481,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D,Succession Class D
661,62,0,1620,7239,3,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,C,Succession Class C
662,10,0,1620,7242,3,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian Oak Barrens,Hardwood,C,Succession Class C
663,1406,0,1620,7296,120,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
664,24821,0,1624,9089,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,D,Succession Class D
665,29603,0,1624,7301,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,D,Succession Class D
666,13724,0,1624,9112,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,D,Succession Class D
667,317,0,1624,9118,1,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian,A,Succession Class A
668,57,0,1636,9118,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
669,345,0,1614,9118,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Freshwater Marsh,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
670,20,0,1636,9817,7,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
671,104,0,1637,9118,6,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
672,173,0,1614,7240,3,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,C,Succession Class C
673,848,0,1614,7238,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
674,46,0,1620,9112,6,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
675,4423,0,1614,9312,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northeastern North American Temperate Forest Plantation,Conifer,UE,Uncharacteristic Exotic Vegetation
676,86,0,1622,7905,120,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban,Urban
677,14,0,1620,7238,3,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,C,Succession Class C
678,105,0,1622,7907,120,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban,Urban
679,664,0,1614,9112,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,B,Succession Class B
680,83,0,1615,7241,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,B,Succession Class B
681,37,0,1622,7906,120,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
682,211,0,1614,7302,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,B,Succession Class B
683,11,0,1637,7240,6,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Hardwood Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
684,42,0,1620,9120,1,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Wet Meadow,Riparian,A,Succession Class A
685,5,0,1621,9057,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
686,98,0,1621,9317,7,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE,Uncharacteristic Exotic Vegetation
687,1,0,1620,7301,6,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
688,4,0,1621,7238,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,B,Succession Class B
689,8,0,1636,7241,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
690,36,0,1637,7238,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Northern Oak Forest,Hardwood,D,Succession Class D
691,24,0,1637,9088,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,C,Succession Class C
692,47,0,1621,7366,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B,Succession Class B
693,758,0,1614,9056,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,E,Succession Class E
694,3,0,1616,9057,6,13023,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
695,5,0,1636,9057,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
696,58,0,1622,9112,3,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,C,Succession Class C
697,7798,0,1614,9817,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
698,32,0,1620,9055,6,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Boreal-Laurentian Bog,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
699,5379,0,1614,7296,120,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
700,1041,0,1614,7240,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
701,25,0,1620,9056,6,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
702,12,0,1620,7242,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian Oak Barrens,Hardwood,D,Succession Class D
703,2565,0,1624,7191,1,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,A,Succession Class A
704,609,0,1620,7298,120,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Developed-High Intensity,Developed-High Intensity,Urban,Urban
705,48,0,1614,9057,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
706,288,0,1614,9056,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,B,Succession Class B
707,37,0,1639,7193,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Recently Logged-Tree Cover,Conifer,C,Succession Class C
708,10,0,1622,7238,3,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,C,Succession Class C
709,173,0,1622,7296,120,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
710,2,0,1636,9114,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Alkaline Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
711,4207,0,1624,7362,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,D,Succession Class D
712,65,0,1622,9056,2,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,B,Succession Class B
713,1413,0,1614,9317,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE,Uncharacteristic Exotic Vegetation
714,2417,0,1624,9817,7,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
715,2,0,1620,7239,6,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
716,66,0,1623,7241,3,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C,Succession Class C
717,280,0,1624,7407,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian Pine Barrens,Conifer,D,Succession Class D
718,2240,0,1624,9312,7,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Northeastern North American Temperate Forest Plantation,Conifer,UE,Uncharacteristic Exotic Vegetation
719,7121,0,1624,7299,120,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Developed-Roads,Developed-Roads,Urban,Urban
720,5435,0,1624,7239,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,D,Succession Class D
721,3,0,1636,7239,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
722,630,0,1624,9317,7,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE,Uncharacteristic Exotic Vegetation
723,47,0,1621,7193,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Recently Logged-Tree Cover,Conifer,C,Succession Class C
724,1,0,1636,7366,2,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B,Succession Class B
725,1429,0,1614,7908,120,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Urban Herbaceous,Developed,Urban,Urban
726,194,0,1620,7295,132,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren or Sparse,Barren or Sparse
727,31,0,1622,7909,120,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Urban Shrubland,Developed,Urban,Urban
728,993,0,1624,7238,4,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,D,Succession Class D
729,52,0,1622,7301,3,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C,Succession Class C
730,17,0,1622,7302,3,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C,Succession Class C
731,9,0,1620,7198,1,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Recently Disturbed Other-Herb and Grass Cover,Grassland,A,Succession Class A
732,7,0,1620,7974,180,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Eastern Cool Temperate Row Crop,Agricultural,Agriculture,Agriculture
733,29,0,1614,7238,3,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,C,Succession Class C
734,644,0,1624,7192,1,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Recently Logged-Shrub Cover,Shrubland,A,Succession Class A
735,61,0,1615,7239,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,B,Succession Class B
736,14,0,1625,7193,3,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Recently Logged-Tree Cover,Conifer,C,Succession Class C
737,2,0,1641,9056,4,14940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_41_50_51,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
738,908,0,1624,7907,120,13652,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban,Urban
739,3,0,1639,7242,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Oak Barrens,Hardwood,D,Succession Class D
740,9,0,1623,7242,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Oak Barrens,Hardwood,D,Succession Class D
741,6,0,1637,7242,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian Oak Barrens,Hardwood,C,Succession Class C
742,7,0,1633,7934,7,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE,Uncharacteristic Exotic Vegetation
743,957,0,1629,7239,3,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,C,Succession Class C
744,177,0,1621,7192,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Recently Logged-Shrub Cover,Shrubland,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
745,3100,0,1629,9089,3,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C,Succession Class C
746,1355,0,1629,7299,120,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Developed-Roads,Developed-Roads,Urban,Urban
747,19,0,1623,9295,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood,D,Succession Class D
748,1128,0,1629,9817,7,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
749,77,0,1629,7908,120,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban,Urban
750,832,0,1629,7191,2,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,B,Succession Class B
751,249,0,1629,7191,1,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,A,Succession Class A
752,6,0,1621,7407,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Pine Barrens,Conifer,B,Succession Class B
753,1729,0,1629,7241,3,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C,Succession Class C
754,2699,0,1629,7302,3,14072,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C,Succession Class C
